0,TMC
1,129+04885
2,129+04889
3,129+08473
4,129+04890
5,129+08513
6,129+08514
7,129-04891
8,129-04892
9,129+09946
10,129-04893
11,129P05389
12,129N08512
13,129N08513
14,129+05389
15,129-08512
16,129-08451
17,129-08513
18,129-08452
19,129P08448
20,129P08449
21,129P08450
22,129P08473
23,129P08492
24,129P08493
25,129+08515
26,129+08517
27,129N04892
28,129N04893
29,129P04882
30,129P08514
31,129P08515
32,129P04890
33,129P08516
34,129+08449
35,129+08450
36,129+08451
37,129+08452
38,129+08493
39,129+08495
40,129+08497
41,129+04883
42,129+08498
43,129+04884
