,rss,intercept,coef_x_1,coef_x_2,coef_x_3,coef_x_4,coef_x_5,coef_x_6,coef_x_7,coef_x_8,coef_x_9,coef_x_10,coef_x_11,coef_x_12,coef_x_13,coef_x_14,coef_x_15,coef_x_16,coef_x_17,coef_x_18,coef_x_19,coef_x_20,coef_x_21,coef_x_22,coef_x_23,coef_x_24,coef_x_25,coef_x_26,coef_x_27,coef_x_28,coef_x_29,coef_x_30,coef_x_31,coef_x_32,coef_x_33,coef_x_34,coef_x_35,coef_x_36,coef_x_37,coef_x_38,coef_x_39,coef_x_40,coef_x_41,coef_x_42,coef_x_43,coef_x_44,coef_x_45,coef_x_46,coef_x_47,coef_x_48,coef_x_49,coef_x_50,coef_x_51,coef_x_52,coef_x_53,coef_x_54,coef_x_55,coef_x_56,coef_x_57,coef_x_58,coef_x_59,coef_x_60,coef_x_61,coef_x_62,coef_x_63,coef_x_64,coef_x_65,coef_x_66,coef_x_67,coef_x_68
alpha_1e-15,4.46021664529,-2.08023959546,0.0860965637485,-0.0358584985204,0.143381752831,0.0738284074339,0.164120343462,-0.123873732323,0.0143774678623,0.0517544251638,-0.0307210873433,-0.80297804385,-0.804058263084,-0.804058263084,-2.04959801378,-2.04825392711,-2.12932725031,-2.1580632695,0.627193333348,-0.599178426037,-0.244777209057,-0.244777209057,-0.244777209057,-0.244777209057,-0.244777209057,-0.244777209057,-0.599178426037,-0.599178426037,-0.599178426037,-0.599178426037,-0.599178426037,-3.47893925702,-3.47893925702,-3.47893925702,-3.47893925702,4.83522299357,4.64828015232,5.04624997409,4.85046793964,4.84458172214,4.84535900695,0.729182572755,-0.0286029497072,-0.177975052134,0.162968914991,-0.0307537782935,-0.103508536374,0.0293049819098,-0.0534572607206,-0.0965502823756,0.0839399845634,0.0683160162127,0.015198674125,0.0657013702448,0.0112476653713,-0.0167238807603,0.191557817184,-0.030138797763,0.0338696836032,0.0195763044959,-0.0163053782696,0.0358855941499,-0.0199393943483,0.0921804845693,-0.0667181378434,0.0809995783597,-0.116691643131,0.0459150848656,0.0192648187696,-0.0908138274331
alpha_1e-10,4.46021664613,-2.08023959028,0.0860965637023,-0.0358584986436,0.143381752679,0.0738284073747,0.164120343511,-0.123873732271,0.0143774679067,0.0517544251115,-0.0307210873587,-0.0026161004374,-0.00261610665975,-0.00261610665975,-0.00261391935451,-0.0026139195811,-0.0026139649746,-0.00261396479239,-0.00261809032651,-0.00261604114669,-0.00261606562677,-0.00261606562677,-0.00261606058023,-0.00261606058023,-0.00261599106306,-0.00261599106306,-0.00261586952246,-0.00261586952246,-0.00261586952246,-0.00261586952246,-0.00261586952246,-0.00261604668536,-0.00261604668536,-0.00261604668536,-0.00261604668536,-0.00262003504118,-0.00261494588892,-0.00261494588892,-0.00261494588892,-0.00261494588892,-0.00261494588892,0.729182571877,-0.0286029490648,-0.177975051705,0.16296891432,-0.0307537779169,-0.103508536079,0.0293049814837,-0.0534572605814,-0.0965502821166,0.0839399842339,0.0683160161797,0.0151986744652,0.0657013700435,0.0112476653857,-0.016723880491,0.191557816721,-0.0301387973982,0.0338696835157,0.019576304357,-0.0163053781519,0.0358855940799,-0.0199393942447,0.0921804843949,-0.0667181375086,0.0809995779933,-0.116691642881,0.0459150847737,0.0192648186819,-0.0908138272826
alpha_1e-08,4.46021672835,-2.08023907787,0.086096559126,-0.0358585108401,0.143381737568,0.0738284015097,0.164120348358,-0.123873727047,0.0143774722984,0.0517544199292,-0.0307210888793,-0.00261576653133,-0.0026157671347,-0.00261576713107,-0.00261575570032,-0.00261574465622,-0.00261575687262,-0.0026157458255,-0.00261579015618,-0.00261575823119,-0.00261575764121,-0.00261575764121,-0.00261575739342,-0.00261575739342,-0.00261575746991,-0.00261575746991,-0.0026157487923,-0.0026157487923,-0.0026157487923,-0.0026157487923,-0.0026157487923,-0.00261576155158,-0.00261576155158,-0.00261576155158,-0.00261576155158,-0.00261580287414,-0.00261575198273,-0.00261575198273,-0.00261575198273,-0.00261575198273,-0.00261575198273,0.729182484897,-0.0286028854615,-0.177975009248,0.162968847853,-0.0307537406358,-0.103508506891,0.0293049392975,-0.053457246815,-0.0965502564676,0.0839399516005,0.0683160129177,0.0151987081484,0.0657013501066,0.0112476668017,-0.0167238538333,0.191557770893,-0.0301387612955,0.0338696748585,0.0195762906026,-0.0163053664933,0.0358855871592,-0.0199393840036,0.0921804671331,-0.0667181043656,0.0809995417219,-0.116691618166,0.0459150756742,0.0192648099968,-0.0908138123784
alpha_0.0001,4.46104158308,-2.07507000777,0.0860503117815,-0.0359814543241,0.143229306947,0.0737694429839,0.164168940024,-0.123820998937,0.0144216569729,0.0517020825981,-0.0307364265801,-0.00261672794884,-0.00261672794991,-0.00261672794991,-0.00261672794964,-0.00261672794964,-0.00261672794964,-0.00261672794964,-0.00261672795481,-0.00261672794957,-0.00261672794957,-0.00261672794957,-0.00261672794959,-0.00261672794959,-0.00261672794962,-0.00261672794962,-0.00261672794964,-0.00261672794964,-0.00261672794964,-0.00261672794964,-0.00261672794964,-0.00261672794871,-0.00261672794871,-0.00261672794871,-0.00261672794871,-0.00261672795476,-0.00261672794927,-0.00261672794927,-0.00261672794927,-0.00261672794927,-0.00261672794927,0.72830621139,-0.0279627140046,-0.177547012162,0.162300245376,-0.0303791088864,-0.103214461835,0.0288808887143,-0.053319176831,-0.0962918533034,0.0836116364194,0.0682829991551,0.0155375613698,0.065501141504,0.0112618469712,-0.0164558226049,0.191096630257,-0.0297755711059,0.0337825592893,0.0194380697749,-0.0161881721956,0.0358158979987,-0.0198361938038,0.092006616193,-0.0663845150467,0.0806344764906,-0.116442710242,0.0458232636565,0.0191775159061,-0.090663631007
alpha_0.001,4.46798527503,-2.02909860899,0.0856319365016,-0.0370669084163,0.141873710451,0.0732624694916,0.164574598518,-0.123349431352,0.0148045465457,0.0512316055992,-0.0308726678565,-0.00262511879333,-0.00262511879333,-0.00262511879333,-0.00262511879344,-0.00262511879344,-0.00262511879343,-0.00262511879343,-0.00262511879387,-0.00262511879335,-0.00262511879335,-0.00262511879335,-0.00262511879335,-0.00262511879324,-0.00262511879324,-0.00262511879324,-0.00262511879334,-0.00262511879334,-0.00262511879334,-0.00262511879334,-0.00262511879334,-0.00262511879336,-0.00262511879336,-0.00262511879336,-0.00262511879336,-0.00262511879374,-0.00262511879323,-0.00262511879323,-0.00262511879323,-0.00262511879323,-0.00262511879323,0.720612863411,-0.022393434187,-0.173767345956,0.156517240481,-0.0271709630415,-0.100634228062,0.0252393046925,-0.0521590658987,-0.094023536423,0.0807674872652,0.0679805058803,0.0184705962003,0.0637983607711,0.0113794172828,-0.0141481878688,0.187094828617,-0.026631896987,0.0330265406979,0.0182540749675,-0.0151812687561,0.0352067364009,-0.0189289826965,0.0904849425433,-0.0634825163167,0.0774595973213,-0.114264845531,0.0450054567466,0.0184283448636,-0.0893424162674
alpha_0.01,4.50528114405,-1.61482901277,0.0814258913091,-0.0462854416608,0.129760207485,0.06971951178,0.166450841283,-0.118831010773,0.0175799242444,0.0467353405855,-0.032086690998,-0.00268247402987,-0.00268247402987,-0.00268247402987,-0.00268247402987,-0.00268247402987,-0.00268247402987,-0.00268247402987,-0.00268247402991,-0.00268247402986,-0.00268247402986,-0.00268247402986,-0.00268247402986,-0.00268247402986,-0.00268247402987,-0.00268247402987,-0.00268247402987,-0.00268247402987,-0.00268247402987,-0.00268247402987,-0.00268247402987,-0.00268247402986,-0.00268247402986,-0.00268247402986,-0.00268247402986,-0.00268247402991,-0.00268247402986,-0.00268247402986,-0.00268247402986,-0.00268247402986,-0.00268247402986,0.65822263387,0.0193142178126,-0.141859472399,0.115379730284,-0.00606967311438,-0.0801270445961,0.000926089072098,-0.0456397877944,-0.0760332543616,0.0602022939885,0.0648326531499,0.0393328665883,0.0534574748783,0.0120888813664,0.00155117507129,0.157673663191,-0.00410734924528,0.0275743154848,0.0104835472926,-0.00836606695492,0.0303833477428,-0.0116285559308,0.078575651192,-0.0419446652305,0.0539189290082,-0.0971944538505,0.0377578302303,0.0134005434124,-0.0784280107507
alpha_1,4.44146199788,3.00163857985,0.0208239222239,-0.0851297150407,0.0302695656466,0.0357173724916,0.0733612332173,-0.0170974647417,0.0122583655683,0.0185632723312,-0.0323090954693,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.000976982638039,0.15740700873,0.097356882609,0.052883902677,0.0425689653505,0.0306244838166,0.0127089889825,0.00103035178185,-0.00624163776706,-0.0030661117643,0.00778911868818,0.0251873143885,0.0402843498575,0.0397649344682,0.0318811774083,0.0315485756605,0.04233080845,0.0363823241884,0.0278388787333,0.0185758876462,0.0118224563622,0.00815066384634,0.0059688677366,0.0105750680366,0.0053963804137,0.00255590297667,-0.00212645798287,0.00671848230483,0.0102272072416,0.00719035506452
alpha_5,4.62506465392,4.36130211317,0.00985166004921,-0.0349305120479,0.0187555947137,0.0126387925435,0.0257263404673,0.00491103643953,0.00968957567217,0.0111028451167,-0.0140066835329,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.00577943653367,0.0595332691975,0.0459847817236,0.0336499426554,0.0282423718759,0.0227762703765,0.0162187348165,0.0116713369186,0.00857095055522,0.00881549186372,0.0114205393986,0.016908648961,0.0218200723574,0.0229916492955,0.0217464483587,0.0218255114522,0.0243138234947,0.0227947758956,0.0203415635516,0.0171538415866,0.0140479785537,0.0119336238833,0.0105941547974,0.0107850205046,0.00959129868913,0.00931657248862,0.00923323786704,0.0113127432316,0.012983254472,0.0130632350227
alpha_10,5.17516192343,5.6662158146,0.00751618270884,-0.019997258115,0.0148752868896,0.00712936810122,0.0157140787027,0.00727812276927,0.00932206048099,0.00721705698303,-0.00895131371976,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0071414326732,0.0376822974945,0.0308407393479,0.0243341988629,0.0212479577042,0.0181229404558,0.0144406391606,0.0118561224537,0.0100612062697,0.0100903121512,0.0111857093766,0.013980935185,0.0166235297307,0.017376956841,0.0167417264426,0.0167688261132,0.0180362362852,0.0172099108373,0.015883209783,0.0141353860956,0.0123778343187,0.0111507622372,0.0103612926204,0.0103368883225,0.009710632927,0.00962848960406,0.00969622440132,0.0107518995279,0.0117109507979,0.0118145378959
alpha_20,6.22142498234,7.68024683739,0.00578258288948,-0.0109870682898,0.0111556192992,0.00443876680499,0.0099210629797,0.00724539073146,0.00845252666098,0.00455665146634,-0.00582151203211,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.00735345629326,0.0236771408831,0.0202661733868,0.0169518772749,0.0153227965483,0.013663206127,0.0117180290901,0.0103378423426,0.00936803463275,0.00934623952424,0.00968141570587,0.0109610592711,0.0122998467185,0.0126868690056,0.0122742631796,0.0122318801826,0.0128498016376,0.0123974360444,0.0116843631724,0.0107690574361,0.00984737914462,0.00918729145967,0.00876800365031,0.00873334202769,0.00841649931326,0.00839510569306,0.0084432053047,0.00897704461112,0.00950840885413,0.00958357297419
